# start length peak_entropy
0 1 7.258124
1 1 6.735139
2 1 7.138619
3 1 7.144944
4 1 7.278258
5 1 7.105972
6 1 7.264383
7 1 7.334046
8 1 7.326339
9 1 7.335162
10 1 7.377170
11 1 7.285898
12 1 7.182897
13 1 7.233184
14 1 7.332163
15 1 7.340880
16 1 7.265533
17 1 7.308465
18 1 7.033055
19 1 7.305486
20 1 7.335804
21 1 7.412716
22 1 7.368434
23 1 7.022388
24 1 7.367270
25 1 7.299932
26 1 7.321542
27 1 7.257592
28 1 7.316598
29 1 7.223060
30 1 7.272552
31 1 7.415983
32 1 7.237697
33 1 7.210322
34 1 7.241090
35 1 7.302381
36 1 7.266613
37 1 7.209807
38 1 7.236331
39 1 7.343765
40 1 7.348982
41 1 7.362960
42 1 7.289899
43 1 7.310023
44 1 7.390167
45 1 7.278674
46 1 7.306120
47 1 7.183827
48 1 7.267060
49 1 7.308818
50 1 7.274879
51 1 7.298348
52 1 7.208056
53 1 7.278172
54 1 7.288684
55 1 7.181435
56 1 7.307938
57 1 7.361946
58 1 7.175347
59 1 7.417573
60 1 7.192718
61 1 7.262714
62 1 7.399958
63 1 7.195043
64 1 7.171774
65 1 7.256140
66 1 7.390376
67 1 7.168607
68 1 7.373736
69 1 7.193687
70 1 7.219512
71 1 7.287051
72 1 7.348382
73 1 7.402794
74 1 7.332163
75 1 7.167175
76 1 7.431172
77 1 7.277341
78 1 7.332830
79 1 7.300561
80 1 7.277111
81 1 7.314666
82 1 7.415106
83 1 7.267562
84 1 7.334775
85 1 7.074523
86 1 7.392644
87 1 7.329714
88 1 7.311090
89 1 7.221379
90 1 7.234159
91 1 7.473668
92 1 7.339860
93 1 7.293367
94 1 7.327974
95 1 7.200828
96 1 7.418208
97 1 7.265620
98 1 7.415497
99 1 7.111170
100 1 7.352609
101 1 7.336431
102 1 7.306024
103 1 7.331329
104 1 7.368103
105 1 7.310937
106 1 7.381305
107 1 7.308182
108 1 7.345820
109 1 7.210619
110 1 7.320086
111 1 7.239615
112 1 7.395546
113 1 7.394736
114 1 7.109289
115 1 7.420161
116 1 7.297057
117 1 7.463636
118 1 7.412098
119 1 7.330437
120 1 7.393476
121 1 7.215968
122 1 7.141483
123 1 7.287349
124 1 7.301959
125 1 7.385646
126 1 6.933586
127 1 7.360518
128 1 7.278123
129 1 7.432270
130 1 7.319568
131 1 7.267002
132 1 7.254259
133 1 7.346924
134 1 7.475647
135 1 7.468317
136 1 7.369010
137 1 7.444999
138 1 7.230584
139 1 7.359709
140 1 7.212912
141 1 7.251562
142 1 7.326682
143 1 7.325580
144 1 6.512642
145 1 7.267515
146 1 7.240462
147 1 7.346789
148 1 7.232816
149 1 7.515018
150 1 7.245347
